# SAVED: date 07/30/2021 time 16:47:34
*VERSION*1.100000
*ORIENTATION*0
*CHANNELS*11000000
*PDD*0

*abs time, delta time, iec x/y, iec z, tt1, tt2, tt3, tt4, tt5, tt6, tt7, tt8
47782.8839,249.6005,20.595617343837,15,22447.2961425781,8290.74382781982,-,-,-,-,-,-
48032.4843,249.6004,22.1077478929753,15,22405.553817749,8317.17872619629,-,-,-,-,-,-
48282.0848,249.6005,23.5961101028394,15,22334.4192504883,8300.31108856201,-,-,-,-,-,-
48531.6852,249.6004,25.0925419005139,15,22233.154296875,8298.38371276855,-,-,-,-,-,-
48781.2856,249.6004,26.5956826184061,15,22142.2748565674,8285.8943939209,-,-,-,-,-,-
49030.8861,249.6005,28.0835840666057,15,22045.1812744141,8283.19454193115,-,-,-,-,-,-
49280.4865,249.6004,29.5836736591516,15,21960.5922698975,8300.6706237793,-,-,-,-,-,-
49530.0869,249.6004,31.0778874013682,15,21860.3630065918,8310.2388381958,-,-,-,-,-,-
49779.6874,249.6005,32.5841305811356,15,21732.4981689453,8295.72010040283,-,-,-,-,-,-
50029.2878,249.6004,34.083617343837,15,21650.5107879639,8309.58652496338,-,-,-,-,-,-
50278.8883,249.6005,35.5717325342532,15,21547.9393005371,8299.6826171875,-,-,-,-,-,-
50528.4887,249.6004,37.0836467813878,15,21436.3899230957,8295.20416259766,-,-,-,-,-,-
50778.0891,249.6004,38.5678379590818,15,21329.8149108887,8275.67958831787,-,-,-,-,-,-
51027.6896,249.6005,40.0724006386669,15,21229.5551300049,8295.85742950439,-,-,-,-,-,-
51277.29,249.6004,41.5727423702348,15,21101.5148162842,8299.32975769043,-,-,-,-,-,-
51526.8905,249.6005,43.0622283266032,15,21000.5397796631,8312.47806549072,-,-,-,-,-,-
51776.4909,249.6004,44.5669612320255,15,20886.6539001465,8302.52742767334,-,-,-,-,-,-
52026.0913,249.6004,46.0602969672923,15,20765.3560638428,8309.38243865967,-,-,-,-,-,-
52275.6918,249.6005,47.5604979105738,15,20654.577255249,8310.75954437256,-,-,-,-,-,-
52525.2922,249.6004,49.0545823835457,15,20560.4305267334,8296.76723480225,-,-,-,-,-,-
52774.8926,249.6004,50.5490431452103,15,20424.5147705078,8297.95932769775,-,-,-,-,-,-
53024.4931,249.6005,52.0489407537293,15,20326.4122009277,8299.61109161377,-,-,-,-,-,-
53274.0935,249.6004,53.5601472197513,15,20206.7890167236,8301.0425567627,-,-,-,-,-,-
53523.694,249.6005,55.0483788804771,15,20080.0743103027,8291.4924621582,-,-,-,-,-,-
53773.2944,249.6004,56.5494079148615,15,19962.6846313477,8318.66931915283,-,-,-,-,-,-
54022.8948,249.6004,58.0426527776889,15,19849.5597839355,8294.09122467041,-,-,-,-,-,-
54272.4953,249.6005,59.5362432117648,15,19729.8946380615,8282.99045562744,-,-,-,-,-,-
54522.0957,249.6004,61.0493301229338,15,19621.8376159668,8295.20416259766,-,-,-,-,-,-
54771.6962,249.6005,62.5601766573021,15,19367.2142028809,8251.18446350098,-,-,-,-,-,-
55021.2966,249.6004,64.0248985172434,15,19351.2535095215,8298.91681671143,-,-,-,-,-,-
55270.897,249.6004,65.5252389689178,15,19267.5704956055,8297.10865020752,-,-,-,-,-,-
55520.4975,249.6005,67.0249407537293,15,19162.4641418457,8283.04386138916,-,-,-,-,-,-
55770.0979,249.6004,68.5259633886461,15,19032.4077606201,8285.79807281494,-,-,-,-,-,-
56019.6983,249.6004,70.0249932293633,15,18932.5389862061,8312.2034072876,-,-,-,-,-,-
56269.2988,249.6005,71.5248895579888,15,18800.8041381836,8297.03140258789,-,-,-,-,-,-
56518.8992,249.6004,73.0244095979215,15,18669.3172454834,8301.41353607178,-,-,-,-,-,-
56768.4997,249.6005,74.5122598503804,15,18551.9332885742,8281.06212615967,-,-,-,-,-,-
57018.1001,249.6004,76.0065119894025,15,18478.0006408691,8297.17922210693,-,-,-,-,-,-
57267.7005,249.6004,77.5062931276118,15,18337.2383117676,8312.82043457031,-,-,-,-,-,-
57517.301,249.6005,79.000465913236,15,18236.7057800293,8298.12717437744,-,-,-,-,-,-
57766.9014,249.6004,80.5002227334686,15,18119.6823120117,8314.2147064209,-,-,-,-,-,-
58016.5019,249.6005,82.0005977422678,15,18000.3890991211,8288.18607330322,-,-,-,-,-,-
58266.1023,249.6004,83.4944774322776,15,17898.1647491455,8286.09085083008,-,-,-,-,-,-
58515.7027,249.6004,84.9944390354723,15,17772.8137969971,8278.72180938721,-,-,-,-,-,-
58765.3032,249.6005,86.4884415952593,15,17684.7229003906,8315.92655181885,-,-,-,-,-,-
59014.9036,249.6004,87.9895410237868,15,17574.556350708,8296.95224761963,-,-,-,-,-,-
59264.504,249.6004,89.4881433800708,15,17454.9751281738,8295.04299163818,-,-,-,-,-,-
59514.1045,249.6005,90.9823648016485,15,17345.7088470459,8292.6721572876,-,-,-,-,-,-
59763.7049,249.6004,92.4825171089765,15,17233.003616333,8311.39469146729,-,-,-,-,-,-
60013.3054,249.6005,93.9763852799447,15,17127.1800994873,8292.6721572876,-,-,-,-,-,-
60262.9058,249.6004,95.4766770956656,15,17039.8139953613,8298.98262023926,-,-,-,-,-,-
60512.5062,249.6004,96.9775576624025,15,16920.6733703613,8297.15061187744,-,-,-,-,-,-
60762.1067,249.6005,98.4890226669141,15,16806.3468933105,8302.34718322754,-,-,-,-,-,-
61011.7071,249.6004,99.9711340176497,15,16723.2189178467,8298.4676361084,-,-,-,-,-,-
61261.3076,249.6005,101.477135297543,15,16621.0746765137,8291.20445251465,-,-,-,-,-,-
61510.908,249.6004,102.964016670613,15,16503.059387207,8293.53427886963,-,-,-,-,-,-
61760.5084,249.6004,104.463891241049,15,16419.8894500732,8312.90912628174,-,-,-,-,-,-
62010.1089,249.6005,105.958248331339,15,16311.5863800049,8294.4917678833,-,-,-,-,-,-
62259.7093,249.6004,107.457831086054,15,16221.1513519287,8303.053855896,-,-,-,-,-,-
62509.3097,249.6004,108.951546949694,15,16117.1321868896,8295.06778717041,-,-,-,-,-,-
62758.9102,249.6005,110.452108822946,15,16007.2956085205,8295.31288146973,-,-,-,-,-,-
63008.5106,249.6004,111.952226573149,15,15896.4357376099,8288.58184814453,-,-,-,-,-,-
63258.1111,249.6005,113.445458637041,15,15828.595161438,8282.91320800781,-,-,-,-,-,-
63507.7115,249.6004,114.940472312704,15,15736.2680435181,8299.83901977539,-,-,-,-,-,-
63757.3119,249.6004,116.452179217089,15,15637.3691558838,8303.95793914795,-,-,-,-,-,-
64006.9124,249.6005,117.939596865541,15,15534.2779159546,8310.09006500244,-,-,-,-,-,-
64256.5128,249.6004,119.43366597979,15,15435.4152679443,8298.12145233154,-,-,-,-,-,-
64506.1133,249.6005,120.939444558213,15,15332.3783874512,8280.39741516113,-,-,-,-,-,-
64755.7137,249.6004,122.427452237574,15,15241.4636611938,8291.04423522949,-,-,-,-,-,-
65005.3141,249.6004,123.935324721783,15,15162.2896194458,8284.74998474121,-,-,-,-,-,-
65254.9146,249.6005,125.440112662626,15,15079.6604156494,8306.48517608643,-,-,-,-,-,-
65504.515,249.6004,126.939639102027,15,14983.3726882935,8282.25994110107,-,-,-,-,-,-
65754.1154,249.6004,128.427914279132,15,14901.0429382324,8313.02356719971,-,-,-,-,-,-
66003.7159,249.6005,129.92199747221,15,14800.3664016724,8306.15043640137,-,-,-,-,-,-
66253.3163,249.6004,131.421558468735,15,14712.8782272339,8301.28765106201,-,-,-,-,-,-
66502.9168,249.6005,132.915677498832,15,14627.4089813232,8281.34918212891,-,-,-,-,-,-
66752.5172,249.6004,134.416124181668,15,14560.4553222656,8286.14521026611,-,-,-,-,-,-
67002.1176,249.6004,135.915889961155,15,14452.5117874146,8286.24725341797,-,-,-,-,-,-
67251.7181,249.6005,137.411360558802,15,14354.0744781494,8297.73712158203,-,-,-,-,-,-
67501.3185,249.6004,138.909664699897,15,14280.1656723022,8302.23941802979,-,-,-,-,-,-
67750.919,249.6005,140.403843884989,15,14204.0348052979,8286.43226623535,-,-,-,-,-,-
68000.5194,249.6004,141.903815727331,15,14135.1337432861,8298.02989959717,-,-,-,-,-,-
68250.1198,249.6004,143.398021790187,15,14028.2325744629,8290.31276702881,-,-,-,-,-,-
68499.7203,249.6005,144.903792689248,15,13954.628944397,8294.00825500488,-,-,-,-,-,-
68749.3207,249.6004,146.397572547564,15,13880.8164596558,8297.56355285645,-,-,-,-,-,-
68998.9211,249.6004,147.892032029335,15,13780.1866531372,8270.26081085205,-,-,-,-,-,-
69248.5216,249.6005,149.391717175531,15,13697.3838806152,8303.11965942383,-,-,-,-,-,-
69498.122,249.6004,150.891906599771,15,13628.589630127,8305.11379241943,-,-,-,-,-,-
69747.7225,249.6005,152.385548229587,15,13549.1523742676,8304.0189743042,-,-,-,-,-,-
69997.3229,249.6004,153.880034589122,15,13461.5869522095,8297.92308807373,-,-,-,-,-,-
70246.9233,249.6004,155.386043548377,15,13382.0304870605,8291.090965271,-,-,-,-,-,-
70496.5238,249.6005,156.87966214011,15,13298.1309890747,8297.70660400391,-,-,-,-,-,-
70746.1242,249.6004,158.379691577661,15,13217.4415588379,8286.78035736084,-,-,-,-,-,-
70995.7247,249.6005,159.879732534253,15,13167.5329208374,8303.00140380859,-,-,-,-,-,-
